time	page	btv	content	photo	video	link	cap source	kdv	kq	cmt	
2024-06-15	FP - BEAT NOW	Nguyễn Đồng Tường		"https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/448103341_8092647407464329_5088208001248770598_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGiixvEhcwgwfdcBQtr7b7XLkkauiedx4EuSRq6J53HgbpjY5AZF0LlQQ01ulxbttHTGSCAQ43oeRqVTqdfawHg&_nc_ohc=7bFL2DNnI64Q7kNvgFoR2Py&_nc_ht=scontent.fhan14-3.fna&oh=03_Q7cD1QEQCusgdGOYSKJmgWcALw_woB1cSclt_-OKjh-lvwOZjA&oe=669862A4 
"				Bách	Duyệt		
2024-06-15	FP - BEAT NOW	Ngô Tiến Dũng	Ơ anh Jack, sao anh lại ở đây 😂			https://vt.tiktok.com/ZSYUVPXp6/		Bách	Duyệt		
2024-06-15	FP - BEAT NOW	Nguyen Viet Anh	Giám thị kiểu này đi xa rồi	"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/441967747_997896408618825_811077354835587154_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEe9LasR0gjNqkBvysZrsaYNKbO1xn5PDM0ps7XGfk8M4KEOFYlIUy_PpjlhhTzAjWFg8NmAN3ZmoVT3-KqxptP&_nc_ohc=UMOMFEFjr30Q7kNvgHwvEMN&_nc_ht=scontent.fhan14-1.fna&oh=03_Q7cD1QFkw1idnX8BDXknZq4kAXWPy3RHMXE_ym0xrXcQKL0vzw&oe=6698715D 
"		https://tienphong.vn/cong-an-vao-cuoc-xac-minh-giam-thi-ep-thi-sinh-mang-bai-thi-ra-nha-ve-sinh-de-chup-anh-o-bac-ninh-post1646469.amp		Bách	Duyệt		
2024-06-15	FP - BEAT NOW	Nguyễn Đức Hậu	Cap: Còn thở là còn gỡ			https://www.tiktok.com/@look.2handddd/video/7379561046182219026		Đạt	Duyệt		
2024-06-15	FP - BEAT NOW	Ngô Tiến Dũng	Thế hoá ra là không ai mù à 🙄	"https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/446029385_982114009890326_5019054771093325033_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGZgjH-PzdYwTLyMxTquDwO4bmXC-GETSbhuZcL4YRNJvcHeHj1VgLKQyLMLyE7WRK2yUNXmda4hjhzu_TGEJpZ&_nc_ohc=2tMYXBh5TwkQ7kNvgEEnZ8s&_nc_ht=scontent.fhan14-5.fna&oh=03_Q7cD1QHYd9Myte9X7Zx_Sakfek_Upe3yjV-xtwjs5TLRDmjXfw&oe=669866E1 
"				Bách	Duyệt		
2024-06-15	FP - BEAT NOW	Ngô Tiến Dũng	Cap: Ủa phòng Gym gì luật kỳ vậy ta 🙄	"https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/446078034_3826170517642197_1711820319474335013_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHGpJtIsQt77fEy-abMH0Z3SofibuZCP3VKh-Ju5kI_dSk2B9qpUAsmosNFoDoFg70Sq0nNMn0H_WUP32ZKr__-&_nc_ohc=hCTqnt6qdpIQ7kNvgEvHv_O&_nc_ht=scontent.fhan14-3.fna&oh=03_Q7cD1QFYVPqKQMH2xeGIOl9WgXlovGwpb36jPn8fjjjSupxPaA&oe=66988F48 
"				Bách	Duyệt		
2024-06-15	FP - BEAT NOW	Nguyễn Đức Hậu	https://drive.google.com/file/d/1ucVf4kdFKEJx3jOkod2feAzcIipS-Iwq/view?usp=sharing	https://drive.google.com/thumbnail?id=1ucVf4kdFKEJx3jOkod2feAzcIipS-Iwq		https://drive.google.com/file/d/1ucVf4kdFKEJx3jOkod2feAzcIipS-Iwq/view?usp=sharing		Bách	Duyệt		
2024-06-15	FP - BEAT NOW	Nguyễn Đức Hậu	https://drive.google.com/file/d/18HdIcTpie0iu8OdBcAyNNj48FrtIJQxv/view?usp=sharing	https://drive.google.com/thumbnail?id=18HdIcTpie0iu8OdBcAyNNj48FrtIJQxv		https://drive.google.com/file/d/18HdIcTpie0iu8OdBcAyNNj48FrtIJQxv/view?usp=sharing		Đạt	Duyệt		
2024-06-15	FP - BEAT NOW	Ngô Tiến Dũng	"CHUYỆN TÌNH ĐẸP CHÊNH LỆCH 20 TUỔI CỦA ÔNG CHÚ 43 TUỔI ĐƯỢC NỮ SINH 2001 TỎ TÌNH NHƯNG TỪ CHỐI, 4 NĂM SAU NHẬN CÁI KẾT NGỌT NGÀO  Cách đây 4 năm, Hằng Giang (SN 2001, ở Đà Nẵng) gặp người đàn ông cùng quê tên Đăng Đảo (SN 1981). Cả hai quen nhau trong một lần ba Giang nhờ Đảo lái xe, chở gia đình đi chơi.   Trước đó, cặp đôi đã gặp nhau nhiều lần nhưng không để lại ấn tượng đặc biệt. Thấy Đảo hiền lành, dễ thương, ""đúng gu"" mình thích, Giang chủ động ""tấn công"".   ""Khi biết anh đ:ộc thân, chưa có mối quan hệ nào, mình đã xin số điện thoại và nhắn tin cho anh"", Giang kể. Tính Đảo hơi ít nói. Ban đầu, người đàn ông 43 tuổi không đồng ý làm người yêu của Giang vì sợ cô còn quá nhỏ, sẽ xao nhãng chuyện học hành. Cả hai vẫn xưng chú - cháu như lần đầu gặp.   ""Mình đã quyết tâm thuyết phục anh, để anh đồng ý quen sau 3 tháng nói chuyện với nhau. Sau đó tụi mình mới đổi cách xưng hô"", Giang cho biết  Thông tin: Kênh 14"	"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/446033320_766880532318211_5767842949362318300_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGIjhT9PxZr1gP4OhcfxJ6h0C8-8TcYA9DQLz7xNxgD0Jg03PRKyjqC7SXXKjH2NgOMpXfMnYs1tpdNfpeOd-UI&_nc_ohc=5g1VqG6dWK4Q7kNvgEe_D0e&_nc_ht=scontent.fhan14-1.fna&oh=03_Q7cD1QGXSTtr1FxMOh5hmieDLeSnF1BVT2wFU5KQl953AcUX-g&oe=66987CD9 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/448266516_1977780799307327_6645339824932854617_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHvTOoYzulVDPgtNfV0RT-ZEbB3nRDs_IcRsHedEOz8h5nU_A5iWuzsDKlCpA4JUyD2GAQw4ye_aK3OsX3MKxOj&_nc_ohc=NjxanTeiMHkQ7kNvgGrWFzx&_nc_ht=scontent.fhan14-5.fna&oh=03_Q7cD1QEvuK-IWbENrRHcf2Iva7a6yTNyJWLJmYZu8X3lbB0Yaw&oe=669885B0 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/448404739_960859325819881_2048070046716197463_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHroMYgJSfv7Z-Hl-Ltlpp8-puobIfgVIv6m6hsh-BUi_IsGeZfvL8vS40RvCmFznG5jNzZ03lYbjIlin1UmObd&_nc_ohc=YWrldvXv_pcQ7kNvgE-0x-H&_nc_ht=scontent.fhan14-1.fna&oh=03_Q7cD1QEdNtxihbUJNWuGuF5dgR7Z9NChEUJzbqbMilGQ1m_B-g&oe=66986ADF 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/448213798_784758943811648_7833241367911735705_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHpeyExaVVwkL_b4CQTk3jwKlfh8cr62bUqV-HxyvrZtXAvthi_afFxVaiwOqbs8NpIWf_8nDQUh12frkwRHF4Q&_nc_ohc=rNi5MrMpO-UQ7kNvgHwdXWk&_nc_ht=scontent.fhan14-5.fna&oh=03_Q7cD1QHduVQjmnIMO_OxokEi5oLINFsdTCoRLYmWwUnwOYpVcA&oe=6698811D 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/446035407_1531102171086367_970728702295684270_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEl9y0AhB3gXyx-PDufO_3jC8VzlUqXun4LxXOVSpe6fja1ghKT_n2uewARq8-GdlNT-afeo2AfVltwtumr-W8a&_nc_ohc=ehvWQtebv2cQ7kNvgHXQQ99&_nc_ht=scontent.fhan14-5.fna&oh=03_Q7cD1QEuhRuYlYpYBe3XaLQdaM4jiWuK6QUQYZhFKuYDVHpMIg&oe=6698908D 
"				Đạt	Duyệt		
2024-06-15	FP - BEAT NOW	Nguyen Viet Anh	phụ nữ đẻ con đã mệt r đừng hỏi bố nó là ai nữa	"https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/448111269_1009854733862946_2654397796943018494_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFaOMRqGTf748-f1dpXCxt7YXq8o7V2RAVheryjtXZEBdPSHayvhPHFEytVmhaMsfY8FgVsUpj9s-5WpPyRT8WE&_nc_ohc=7U9QO24Ix9gQ7kNvgGu8Nj6&_nc_ht=scontent.fhan14-3.fna&oh=03_Q7cD1QFMMN1G9_S6yVJdpHauH1V2bX0VJC-8EJlgOriDGmsQjQ&oe=6698900D 
"				Đạt	Duyệt		
